issue_date,ts,horizon_hour,lead_day,turbine,wind_speed_100m,power_norm_pred,power_p10,power_p90,power_gbm_pred,power_two_stage_pred,power_curve_pred,wind_nacelle_pred
2026-02-04,2026-02-05 00:00:00,1,1,1,8.5278,0.7297,0.3517,1.0,0.709,0.7533,0.7061,9.545
2026-02-04,2026-02-05 01:00:00,2,1,1,9.1111,0.7868,0.4088,1.0,0.7739,0.7972,0.7763,9.8332
2026-02-04,2026-02-05 02:00:00,3,1,1,9.7222,0.9027,0.7955,1.0,0.8771,0.9346,0.8707,10.9492
2026-02-04,2026-02-05 03:00:00,4,1,1,10.0833,0.9379,0.8308,1.0,0.9544,0.9823,0.8936,11.8982
2026-02-04,2026-02-05 04:00:00,5,1,1,10.4167,0.9516,0.8444,1.0,0.9871,0.9885,0.9147,12.3852
2026-02-04,2026-02-05 05:00:00,6,1,1,10.9722,0.9393,0.8321,1.0,0.9774,0.99,0.8885,13.67
2026-02-04,2026-02-05 06:00:00,7,1,1,11.7222,0.9668,0.8596,1.0,0.944,0.99,0.9435,14.463
2026-02-04,2026-02-05 07:00:00,8,1,1,11.8889,0.9687,0.8616,1.0,0.9602,0.99,0.9474,14.9459
2026-02-04,2026-02-05 08:00:00,9,1,1,11.9722,0.9697,0.8625,1.0,0.9613,0.99,0.9494,14.8211
2026-02-04,2026-02-05 09:00:00,10,1,1,11.6111,0.9655,0.8583,1.0,0.9524,0.99,0.9409,15.1832
2026-02-04,2026-02-05 10:00:00,11,1,1,11.4444,0.9613,0.8541,1.0,0.9641,0.99,0.9326,15.1336
2026-02-04,2026-02-05 11:00:00,12,1,1,11.75,0.9671,0.8599,1.0,0.9434,0.99,0.9442,15.7954
2026-02-04,2026-02-05 12:00:00,13,1,1,12.0833,0.9703,0.8632,1.0,0.9165,0.99,0.9507,15.7925
2026-02-04,2026-02-05 13:00:00,14,1,1,11.2222,0.9498,0.8427,1.0,0.8917,0.99,0.9096,15.1997
2026-02-04,2026-02-05 14:00:00,15,1,1,10.1667,0.9444,0.8373,1.0,0.9041,0.99,0.8989,15.2297
2026-02-04,2026-02-05 15:00:00,16,1,1,8.5,0.8448,0.7377,1.0,0.8566,0.9863,0.7033,12.2013
2026-02-04,2026-02-05 16:00:00,17,1,1,7.9444,0.8001,0.6929,0.9589,0.8509,0.9718,0.6283,11.5064
2026-02-04,2026-02-05 17:00:00,18,1,1,7.0278,0.6775,0.2995,0.9862,0.7787,0.8792,0.4758,10.4652
2026-02-04,2026-02-05 18:00:00,19,1,1,6.5,0.6218,0.2438,0.9305,0.7477,0.8411,0.4025,10.1421
2026-02-04,2026-02-05 19:00:00,20,1,1,6.5833,0.5921,0.2141,0.9008,0.6764,0.7705,0.4137,9.6622
2026-02-04,2026-02-05 20:00:00,21,1,1,6.8611,0.627,0.249,0.9357,0.6738,0.8027,0.4512,9.8664
2026-02-04,2026-02-05 21:00:00,22,1,1,6.8889,0.5963,0.2184,0.9051,0.6679,0.7377,0.455,9.4427
2026-02-04,2026-02-05 22:00:00,23,1,1,6.3611,0.4654,0.2255,0.8055,0.5351,0.5581,0.3726,8.2116
2026-02-04,2026-02-05 23:00:00,24,1,1,6.5556,0.4482,0.2083,0.7883,0.5074,0.4863,0.41,7.7479
2026-02-04,2026-02-06 00:00:00,25,2,1,6.0556,0.3419,0.05,0.7726,0.4519,0.3769,0.3069,7.0566
2026-02-04,2026-02-06 01:00:00,26,2,1,5.6944,0.2959,0.004,0.7267,0.4235,0.3285,0.2634,6.7613
2026-02-04,2026-02-06 02:00:00,27,2,1,5.3889,0.2807,0.0,0.7114,0.3755,0.3318,0.2296,6.782
2026-02-04,2026-02-06 03:00:00,28,2,1,5.0278,0.2458,0.0,0.6765,0.3487,0.3065,0.1851,6.5912
2026-02-04,2026-02-06 04:00:00,29,2,1,3.0556,0.1523,0.0398,0.3595,0.2432,0.2519,0.0526,6.1688
2026-02-04,2026-02-06 05:00:00,30,2,1,3.0556,0.0607,0.0,0.2679,0.1615,0.0687,0.0526,3.9808
2026-02-04,2026-02-06 06:00:00,31,2,1,7.9722,0.4948,0.2029,0.9255,0.3833,0.3579,0.6317,6.945
2026-02-04,2026-02-06 07:00:00,32,2,1,5.7778,0.2209,0.0,0.6517,0.2498,0.1699,0.272,5.4153
2026-02-04,2026-02-06 08:00:00,33,2,1,5.2778,0.1569,0.0444,0.3641,0.1571,0.0978,0.2159,4.5177
2026-02-04,2026-02-06 09:00:00,34,2,1,8.5,0.4262,0.1342,0.8569,0.2501,0.149,0.7033,5.1906
2026-02-04,2026-02-06 10:00:00,35,2,1,13.4444,0.7519,0.2572,1.0,0.5636,0.522,0.9819,8.0109
2026-02-04,2026-02-06 11:00:00,36,2,1,11.4167,0.8583,0.5236,1.0,0.7962,0.787,0.9297,9.7717
2026-02-04,2026-02-06 12:00:00,37,2,1,12.6111,0.972,0.6373,1.0,0.8982,0.9863,0.9577,12.2022
2026-02-04,2026-02-06 13:00:00,38,2,1,12.6111,0.9738,0.6391,1.0,0.9028,0.99,0.9577,12.7381
2026-02-04,2026-02-06 14:00:00,39,2,1,13.0556,0.9807,0.646,1.0,0.9633,0.99,0.9715,12.6784
2026-02-04,2026-02-06 15:00:00,40,2,1,13.0833,0.9811,0.6464,1.0,0.8679,0.99,0.9722,12.6427
2026-02-04,2026-02-06 16:00:00,41,2,1,12.4444,0.9717,0.637,1.0,0.8672,0.9897,0.9537,12.4784
2026-02-04,2026-02-06 17:00:00,42,2,1,14.2222,0.9856,0.6508,1.0,0.9178,0.99,0.9811,12.6475
2026-02-04,2026-02-06 18:00:00,43,2,1,13.6389,0.9842,0.6494,1.0,0.8754,0.9869,0.9815,12.2672
2026-02-04,2026-02-06 19:00:00,44,2,1,13.8333,0.9844,0.6497,1.0,0.9115,0.99,0.9789,12.5281
2026-02-04,2026-02-06 20:00:00,45,2,1,13.9444,0.9813,0.6465,1.0,0.9517,0.9851,0.9774,12.0155
2026-02-04,2026-02-06 21:00:00,46,2,1,12.9722,0.9732,0.6384,1.0,0.9312,0.9772,0.9691,11.7089
2026-02-04,2026-02-06 22:00:00,47,2,1,11.8611,0.9352,0.6005,1.0,0.9167,0.9236,0.9468,10.8467
2026-02-04,2026-02-06 23:00:00,48,2,1,11.9444,0.9193,0.5845,1.0,0.904,0.8899,0.9487,10.5544
2026-02-04,2026-02-05 00:00:00,1,1,2,8.5278,0.7341,0.3105,1.0,0.7539,0.7721,0.7088,9.8536
2026-02-04,2026-02-05 01:00:00,2,1,2,9.1111,0.7901,0.3665,1.0,0.8175,0.8267,0.7657,10.2063
2026-02-04,2026-02-05 02:00:00,3,1,2,9.7222,0.8942,0.7427,1.0,0.8588,0.9514,0.8561,11.3882
2026-02-04,2026-02-05 03:00:00,4,1,2,10.0833,0.9186,0.767,1.0,0.8879,0.9698,0.8844,12.2254
2026-02-04,2026-02-05 04:00:00,5,1,2,10.4167,0.9333,0.7818,1.0,0.9092,0.97,0.9089,12.7637
2026-02-04,2026-02-05 05:00:00,6,1,2,10.9722,0.92,0.7684,1.0,0.8969,0.97,0.8867,13.7878
2026-02-04,2026-02-05 06:00:00,7,1,2,11.7222,0.9503,0.7988,1.0,0.9221,0.97,0.9372,14.4434
2026-02-04,2026-02-05 07:00:00,8,1,2,11.8889,0.9513,0.7998,1.0,0.9276,0.97,0.9389,14.7281
2026-02-04,2026-02-05 08:00:00,9,1,2,11.9722,0.9518,0.8003,1.0,0.8953,0.97,0.9397,14.8435
2026-02-04,2026-02-05 09:00:00,10,1,2,11.6111,0.9497,0.7981,1.0,0.9185,0.97,0.9361,14.8584
2026-02-04,2026-02-05 10:00:00,11,1,2,11.4444,0.9457,0.7941,1.0,0.9365,0.97,0.9294,14.9742
2026-02-04,2026-02-05 11:00:00,12,1,2,11.75,0.9505,0.7989,1.0,0.9942,0.97,0.9375,15.2409
2026-02-04,2026-02-05 12:00:00,13,1,2,12.0833,0.9525,0.8009,1.0,0.959,0.97,0.9408,14.966
2026-02-04,2026-02-05 13:00:00,14,1,2,11.2222,0.9323,0.7808,1.0,0.9368,0.97,0.9072,14.3289
2026-02-04,2026-02-05 14:00:00,15,1,2,10.1667,0.9223,0.7708,1.0,0.8964,0.97,0.8906,14.1026
2026-02-04,2026-02-05 15:00:00,16,1,2,8.5,0.812,0.6604,0.9843,0.9021,0.97,0.7067,12.691
2026-02-04,2026-02-05 16:00:00,17,1,2,7.9444,0.7641,0.3405,1.0,0.8468,0.9603,0.6333,11.6088
2026-02-04,2026-02-05 17:00:00,18,1,2,7.0278,0.6302,0.2066,0.9412,0.7517,0.8943,0.4542,10.7423
2026-02-04,2026-02-05 18:00:00,19,1,2,6.5,0.536,0.1124,0.8471,0.7549,0.7826,0.3717,9.9321
2026-02-04,2026-02-05 19:00:00,20,1,2,6.5833,0.5232,0.0996,0.8343,0.7756,0.7314,0.3844,9.5255
2026-02-04,2026-02-05 20:00:00,21,1,2,6.8611,0.5551,0.1314,0.8661,0.7639,0.7471,0.427,9.6563
2026-02-04,2026-02-05 21:00:00,22,1,2,6.8889,0.5601,0.1364,0.8711,0.7559,0.7533,0.4313,9.708
2026-02-04,2026-02-05 22:00:00,23,1,2,6.3611,0.443,0.196,0.8134,0.6472,0.5875,0.3467,8.5464
2026-02-04,2026-02-05 23:00:00,24,1,2,6.5556,0.4448,0.1978,0.8152,0.6488,0.5418,0.3802,8.2607
2026-02-04,2026-02-06 00:00:00,25,2,2,6.0556,0.3396,0.0437,0.7807,0.4927,0.4114,0.2917,7.3788
2026-02-04,2026-02-06 01:00:00,26,2,2,5.6944,0.2982,0.0024,0.7393,0.4528,0.3673,0.2521,7.0911
2026-02-04,2026-02-06 02:00:00,27,2,2,5.3889,0.2673,0.0,0.7085,0.4415,0.3389,0.2196,6.9059
